	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	End Clock Time	Delta Time (s)	Peak Freq (Hz)	Species	Call type
	64	Spectrogram 1	1	515.381656	518.3624424	46561.8	56200.9	23:35.4	23:38.4	2.9808	48750	Pipistrellus tenuis	Echolocation
	66	Spectrogram 1	1	519.0901086	524.778192	46725.2	55874.2	23:39.1	23:44.8	5.6881	49875	Pipistrellus tenuis	Echolocation
	69	Spectrogram 1	1	525.7671347	526.6563938	46725.2	50646.2	23:45.8	23:46.7	0.8893	47625	Pipistrellus tenuis	Echolocation
	70	Spectrogram 1	1	529.114286	534.2265379	47052	54567.2	23:49.1	23:54.2	5.1123	48750	Pipistrellus tenuis	Echolocation
	71	Spectrogram 1	1	529.5506622	533.6860078	34635.5	45908.3	23:49.6	23:53.7	4.1353	39750	 Pipistrellus ceylonicus	Echolocation
	72	Spectrogram 1	1	539.8740072	544.3464575	48685.7	55220.7	23:59.9	24:04.3	4.4725	55125	Pipistrellus tenuis	Echolocation
	75	Spectrogram 1	1	548.3825961	549.184673	49175.8	55547.4	24:08.4	24:09.2	0.8021	51000	Pipistrellus tenuis	Echolocation
	76	Spectrogram 1	1	549.6990483	552.0733121	36596	41660.6	24:09.7	24:12.1	2.3743	37875	 Pipistrellus ceylonicus	Echolocation
	78	Spectrogram 1	1	564.3851778	567.7940045	46888.6	55220.7	24:24.4	24:27.8	3.4088	48000	Pipistrellus tenuis	Echolocation
	79	Spectrogram 1	1	579.6587662	584.3293405	47868.8	53587	24:39.7	24:44.3	4.6706	49875	Pipistrellus tenuis	Echolocation
	80	Spectrogram 1	1	585.423225	588.3031459	48522.3	56200.9	24:45.4	24:48.3	2.8799	50250	Pipistrellus tenuis	Echolocation
	81	Spectrogram 1	1	585.6615232	588.460074	43784.5	47542.1	24:45.7	24:48.5	2.7986	44250	 Pipistrellus ceylonicus	Echolocation
	82	Spectrogram 1	1	595.4249162	597.2964289	33818.6	45745	24:55.4	24:57.3	1.8715	35250	 Pipistrellus ceylonicus	Echolocation
	83	Spectrogram 1	1	597.9880749	599.1330687	33001.7	46725.2	24:58.0	24:59.1	1.145	37875	 Pipistrellus ceylonicus	Echolocation
	84	Spectrogram 1	1	772.8641712	775.4883575	35125.6	48522.3	42:52.9	42:55.5	2.6242	36750	 Pipistrellus ceylonicus	Echolocation
	87	Spectrogram 1	1	892.6921756	893.357667	45418.2	50319.5	44:52.7	44:53.4	0.6655	46875	Pipistrellus tenuis	Echolocation
	88	Spectrogram 1	1	1217.535868	1219.779358	35942.5	46071.7	20:17.5	20:19.8	2.2435	37500	 Pipistrellus ceylonicus	Echolocation
	89	Spectrogram 1	1	1380.339776	1383.810088	46561.8	54240.5	23:00.3	23:03.8	3.4703	48750	Pipistrellus tenuis	Echolocation
	90	Spectrogram 1	1	1629.83314	1631.213991	48522.3	54240.5	42:09.8	42:11.2	1.3809	49875	Pipistrellus tenuis	Echolocation
	91	Spectrogram 1	1	1631.57725	1634.991601	46725.2	54240.5	42:11.6	42:15.0	3.4144	48750	Pipistrellus tenuis	Echolocation
	92	Spectrogram 1	1	1644.920631	1649.813885	47542.1	58814.9	42:24.9	42:29.8	4.8933	49875	Pipistrellus tenuis	Echolocation
	93	Spectrogram 1	1	1681.0872	1681.758503	48195.6	51953.2	43:01.1	43:01.8	0.6713	49125	Pipistrellus tenuis	Echolocation
	94	Spectrogram 1	1	1701.910441	1707.570909	46071.7	52280	43:21.9	43:27.6	5.6605	48375	Pipistrellus tenuis	Echolocation
	95	Spectrogram 1	1	1707.826643	1710.604852	46235.1	60448.7	43:27.8	43:30.6	2.7782	49500	Pipistrellus tenuis	Echolocation
	96	Spectrogram 1	1	2162.776618	2169.591148	45418.2	57017.8	21:02.8	21:09.6	6.8145	46875	Pipistrellus tenuis	Echolocation
	97	Spectrogram 1	1	2547.27413	2548.567333	51136.3	59141.7	42:27.3	42:28.6	1.2932	53250	Pipistrellus tenuis	Echolocation
	98	Spectrogram 1	1	2599.651193	2600.23822	50665.7	54600.9	43:19.7	43:20.2	0.587	52500	Pipistrellus tenuis	Echolocation
	99	Spectrogram 1	1	2636.624056	2640.509479	47878.3	56896.5	43:56.6	44:00.5	3.8854	49500	Pipistrellus tenuis	Echolocation
	100	Spectrogram 1	1	2648.849639	2651.110566	51157.6	55420.8	44:08.9	44:11.1	2.2609	54000	Pipistrellus tenuis	Echolocation
	101	Spectrogram 1	1	2674.050626	2675.163653	51485.6	55092.8	44:34.1	44:35.2	1.113	52875	Pipistrellus tenuis	Echolocation
	102	Spectrogram 1	1	2684.181593	2685.460267	50665.7	58700.1	44:44.2	44:45.5	1.2787	52500	Pipistrellus tenuis	Echolocation
	103	Spectrogram 1	1	454.15525	457.9869543	33092.15	53733.788	22:34.2	22:38.0	3.8317	37500	 Pipistrellus ceylonicus	Feeding buzz
	104	Spectrogram 1	1	458.1028476	463.6174711	33419.795	64873.72	22:38.1	22:43.6	5.5146	39375	 Pipistrellus ceylonicus 	Echolocation
	105	Spectrogram 1	1	466.4044049	475.4283947	33747.44	43576.792	22:46.4	22:55.4	9.024	35625	 Pipistrellus ceylonicus	Echolocation
	110	Spectrogram 1	1	1714.443076	1715.803678	47836.177	52095.563	43:34.4	43:35.8	1.3606	49500	Pipistrellus tenuis	Echolocation
	111	Spectrogram 1	1	2521.507266	2522.271524	51440.273	57010.239	42:01.5	42:02.3	0.7643	52875	Pipistrellus tenuis	Echolocation
	112	Spectrogram 1	1	2534.528705	2535.40125	50784.983	57993.174	42:14.5	42:15.4	0.8725	52875	Pipistrellus tenuis	Echolocation
